Pos_x,Pos_y,Pos_z,m_x,m_y,m_z
-2850668.8,5492833.5,1485602.4,1.2531895e+20,6.4928906e+19,1.611893e+20
-2804171.2,5326963.5,1621151.5,1.3760258e+20,1.8846449e+20,1.7266702e+20
-2598333.2,5460578.5,1539904.2,-1.887668e+20,8.222312e+19,5.1969266e+19
-2838651.0,5398974.0,1607541.4,4.5175124e+19,2.5388052e+20,1.7339434e+19
-2747239.0,5407633.0,1721676.5,-3.9999293e+18,8.469395e+19,8.074538e+19
-2640623.0,5585896.5,1536484.8,1.2951523e+20,-3.138693e+19,-2.4459854e+20
-2652023.5,5465027.0,1416118.6,-2.481571e+19,3.9274054e+19,1.0126072e+20
-2742926.8,5493588.5,1667950.5,9.168043e+19,-2.6851517e+19,-9.694482e+19
-2884859.0,5428685.0,1535582.9,3.7285046e+19,-1.0037745e+20,-9.341648e+19
-2854965.5,5398791.0,1605960.1,-1.2455705e+20,-4.5495645e+19,-5.305331e+19
-2671489.2,5579958.5,1488907.2,-1.3056208e+20,-9.3579435e+19,-3.980628e+19
-2891475.8,5470582.0,1453685.6,2.076192e+20,8.631791e+19,3.5276355e+19
-2844190.5,5385802.0,1450952.4,-1.0218181e+20,4.050694e+19,-3.3787212e+19
-2700284.8,5434318.5,1676514.1,3.3519989e+19,-1.9000984e+19,4.788666e+19
-2834175.5,5464007.0,1516056.9,3.9139443e+19,2.1345182e+20,3.0603926e+20
-2628099.8,5559775.5,1552293.0,2.3121864e+20,-2.411218e+19,-3.99971e+19
-2707446.2,5470448.0,1607916.8,-2.6788061e+20,1.4103669e+20,-9.416541e+19
-2848295.2,5401249.0,1686285.2,-9.447901e+19,-4.830575e+19,2.990502e+20
-2800998.5,5422031.0,1662858.5,-1.9640644e+19,-3.025323e+19,-8.332375e+19
-2863557.2,5427399.0,1525711.1,-9.778251e+19,-2.873802e+19,2.088861e+20
-2764017.5,5424009.5,1454596.4,7.25506e+19,6.0443725e+19,1.7454538e+20
-2578321.0,5492858.5,1607793.1,1.3870885e+19,-1.25188265e+20,-4.050443e+19
-2853992.8,5460769.5,1421816.6,9.6795515e+19,1.099859e+20,3.0756804e+18
-2846496.0,5409504.5,1498186.0,9.2064187e+18,7.729901e+19,1.1745493e+20
-2785415.8,5458894.0,1624878.9,-1.3469718e+20,7.3314604e+19,-1.5703207e+20
-2815262.0,5447018.0,1608759.8,7.0649863e+19,1.0686263e+20,-6.8276264e+19
-2812722.8,5477279.5,1530657.9,-2.0440894e+20,1.4285828e+20,-2.1947787e+18
-2668826.8,5420184.0,1708305.6,-2.0665868e+20,-1.3412642e+20,-3.6236095e+19
-2788282.2,5469317.0,1453355.1,1.1841585e+20,1.15396525e+20,1.7551082e+20
-2661100.2,5553789.5,1645247.8,1.521588e+20,-1.7433758e+20,-1.0307519e+19
-2821443.5,5521322.5,1488712.6,-8.115495e+18,8.023588e+19,1.4200153e+20
-2598593.8,5549050.0,1545538.5,-1.04905275e+20,-2.9347148e+19,9.193651e+19
-2655779.5,5478328.0,1676266.1,-7.7869525e+19,-1.1252624e+20,7.23861e+19
-2614306.0,5566133.0,1538814.8,6.058628e+19,-2.5986342e+19,-8.139016e+19
-2611723.5,5518608.5,1422465.5,-4.8859935e+19,5.385003e+19,8.386023e+19
-2786300.2,5356012.5,1562967.9,-2.5161303e+19,3.2801467e+19,1.8447578e+20
-2774444.0,5423111.0,1491844.9,-1.8671192e+20,1.1026705e+20,1.20789735e+20
-2666541.5,5496692.5,1446495.2,3.7448966e+19,-7.805815e+19,-7.615588e+19
-2825277.2,5339689.0,1623808.2,4.1788813e+19,-1.6657589e+20,1.2113914e+20
-2570982.5,5488036.5,1547748.2,-8.046489e+19,9.857558e+19,2.4055516e+19
-2702584.2,5476236.0,1456094.9,6.8231637e+19,-1.0943538e+20,5.9422755e+17
-2692426.5,5472773.5,1436804.2,-1.1083072e+20,6.782063e+19,1.0541205e+20
-2810356.5,5460652.0,1484939.2,-4.7720617e+19,1.2268455e+20,-3.2675368e+19
-2817936.2,5432941.5,1443746.2,7.426516e+19,-9.323263e+18,5.9914165e+19
-2646131.5,5556137.0,1532831.6,6.1979633e+19,-5.555633e+19,-1.8713025e+20
-2707085.0,5458497.5,1709635.8,1.6933923e+20,-9.577835e+19,-1.3939362e+20
-2732120.0,5518901.5,1597128.9,-1.3923209e+20,4.4020553e+19,-1.376313e+20
-2789999.5,5467424.0,1479564.0,1.7092125e+20,-1.45612996e+20,1.8612095e+20
-2809980.8,5481520.5,1565613.5,-4.0488983e+20,3.5334747e+20,1.09079576e+20
-2796412.8,5430268.5,1624806.2,-8.095329e+19,7.1589404e+19,-6.166987e+19
-2684305.8,5537546.5,1600029.4,-1.3896184e+20,-3.9663364e+20,-1.5261071e+19
-2743464.8,5391729.0,1592735.4,-1.5334301e+20,-7.0736733e+19,3.0063842e+18
-2731863.0,5380469.0,1676079.0,-9.4232175e+19,-7.558087e+19,1.3606419e+20
-2638439.2,5575306.5,1556297.5,1.8991785e+20,1.4855855e+19,4.064633e+19
-2592926.8,5455475.0,1627604.0,-1.5356214e+20,-1.4677872e+20,-2.0244006e+20
-2761161.5,5521981.5,1483435.8,-1.6494583e+20,2.036388e+20,2.6855772e+19
-2888973.5,5479337.0,1445030.6,9.678861e+19,-1.1567657e+20,1.6735206e+20
-2679816.2,5480464.0,1512982.8,-2.5744046e+20,-1.0153942e+20,1.1148055e+20
-2711684.0,5367020.0,1645865.2,4.8929125e+19,1.3078146e+20,-1.8023684e+20
-2624647.2,5468712.0,1518560.4,2.2137332e+19,-6.328266e+18,-1.8110015e+19
-2764260.5,5375158.0,1712098.6,-3.728582e+19,-3.715295e+19,-2.471775e+19
-2666764.2,5512815.0,1606488.4,-6.829438e+19,-5.8724903e+19,-3.76252e+19
-2751567.0,5501888.0,1514227.4,-2.2529744e+20,2.6807767e+19,1.41392964e+20
-2769994.2,5413371.5,1697747.8,-8.0023054e+19,-3.0242441e+19,-1.300871e+20
-2831028.0,5383129.0,1701699.4,1.1492356e+20,-9.767834e+18,4.1553443e+19
-2814883.5,5323833.0,1665764.1,9.324968e+18,-1.0886425e+19,-1.2796774e+20
-2796798.2,5552338.0,1537817.2,-1.7069371e+20,2.7948764e+20,2.3829165e+20
-2605492.0,5499543.5,1489344.6,2.0493266e+20,5.9678034e+19,4.4760604e+19
-2630301.2,5517928.5,1661856.2,1.5369343e+20,-1.4047462e+20,9.353962e+18
-2665044.2,5514308.0,1640495.2,-2.2277812e+19,-2.2233784e+20,-7.6307076e+17
-2817564.8,5393445.5,1552692.2,1.63462e+20,6.951556e+19,9.345523e+19
-2604396.0,5398925.0,1698176.8,-2.3039733e+18,2.2257136e+20,-7.499947e+19
-2794400.2,5370979.0,1545082.5,1.5096413e+20,1.3852938e+20,-4.4768798e+18
-2598800.8,5392939.5,1704980.1,-1.001587e+19,3.181861e+19,1.5218291e+19
-2880990.8,5460913.5,1572527.4,1.8632889e+20,6.957877e+18,3.8629146e+19
-2698565.5,5530928.5,1584711.1,7.469564e+18,-2.3725897e+20,1.1332746e+20
-2597442.8,5423842.5,1632318.0,1.9337736e+19,-7.420202e+18,-7.281584e+19
-2664172.8,5567383.5,1569081.6,1.0294508e+20,-3.6824805e+20,-1.1813596e+20
-2753005.5,5430307.5,1539282.0,-1.19639215e+20,8.96511e+19,1.6180045e+20
-2697910.8,5432631.0,1434361.5,2.0723169e+19,1.082177e+19,-3.2345198e+19
-2681705.5,5506939.5,1674302.0,-1.4551274e+19,-9.6190915e+19,1.4130355e+20
-2782248.5,5354011.5,1570121.4,-1.2711138e+20,-1.5692508e+20,1.3572034e+20
-2756169.0,5492366.0,1635855.0,-3.3926124e+19,3.2598182e+19,3.6651434e+20
-2745364.2,5460215.0,1659177.9,-2.6987998e+20,-6.942361e+19,-1.4643308e+20
-2857897.8,5462632.0,1497426.8,1.1002595e+19,1.3673576e+20,1.534312e+20
-2620240.5,5400263.0,1657627.4,1.9741505e+19,5.0052975e+19,-1.5028035e+20
-2756888.5,5353678.5,1684194.1,7.378485e+18,-6.072732e+19,-1.3361947e+20
-2789764.5,5409626.0,1495142.2,-6.214536e+19,1.23093045e+20,1.0782382e+20
-2651103.2,5404750.0,1624204.9,1.6134507e+19,1.2403494e+19,8.4650855e+19
-2724852.8,5420547.5,1509139.1,7.722192e+19,2.5033267e+19,-1.3119508e+20
-2588313.0,5491360.0,1483652.9,-6.4896777e+18,-3.317443e+19,2.2744933e+19
-2621715.2,5560943.0,1465472.9,-1.3783917e+20,1.9944646e+19,-1.8129186e+19
-2718267.2,5417228.5,1601917.2,-1.4821324e+20,1.8020723e+20,4.4376654e+19
-2797984.5,5404732.5,1565819.6,-2.437479e+19,1.8568742e+20,1.074008e+20
-2844154.5,5405523.0,1669366.0,3.789416e+19,1.91814e+20,-1.3398564e+20
-2637317.2,5554335.0,1509571.0,-5.7041265e+19,4.9554734e+19,-2.6543513e+20
-2723047.5,5414916.5,1449367.4,1.1295246e+20,7.6759765e+19,-1.8509895e+20
-2742381.0,5516999.0,1565914.5,-2.4876502e+20,-5.9969295e+19,9.775529e+19
-2568893.2,5496153.5,1544471.2,-2.2715543e+20,4.188573e+19,1.3805289e+20
-2696325.0,5509485.0,1664059.5,-2.7897651e+19,-1.7629344e+20,-1.4709614e+20
-2617393.2,5487048.0,1432866.5,6.3854063e+19,8.180663e+19,1.9354131e+20
-2842830.0,5472658.5,1441484.2,5.977824e+19,2.4107524e+20,-1.0685786e+20
-2688347.5,5541485.0,1619958.8,-1.2514447e+20,-3.203889e+20,-6.296495e+19
-2745562.8,5472851.0,1420161.9,-1.5642835e+19,1.1071831e+20,6.934871e+19
-2667788.0,5581111.0,1473999.9,-8.573174e+19,-6.542668e+19,-9.0380815e+19
-2728179.5,5396876.5,1619194.9,-1.6791999e+19,1.1399768e+19,-5.443127e+19
-2624638.2,5445732.5,1563282.8,8.6183586e+18,-2.4600427e+20,1.560804e+20
-2787043.5,5463933.0,1582378.6,-1.6455945e+20,2.7525204e+20,1.217675e+19
-2773578.5,5426872.0,1669065.0,-1.5697668e+19,2.3318262e+19,8.968473e+19
-2808398.8,5472701.5,1666076.9,-3.8237914e+19,8.597569e+19,-6.544497e+19
-2711307.8,5474341.0,1573698.9,-7.7071675e+19,-1.2521989e+19,-1.00778615e+20
-2587294.0,5471750.0,1479211.9,-1.8117065e+20,-2.1611633e+19,-3.9140125e+19
-2647377.8,5496012.5,1442347.8,-8.565683e+19,-4.0504627e+19,6.560529e+18
-2829185.8,5389040.0,1690050.8,-2.1124947e+20,1.3047214e+20,1.1064264e+20
-2601841.8,5459304.5,1715131.1,-5.720847e+19,-3.7181024e+19,9.298411e+19
-2774049.2,5339681.5,1700686.6,-1.0394855e+19,-1.1511823e+20,1.0878726e+20
-2749798.0,5493340.0,1615417.5,-2.8289685e+20,-9.851047e+19,-1.732058e+20
-2866536.8,5397693.5,1427645.6,-2.0147124e+20,-9.982201e+19,-5.802375e+19
-2594919.8,5505515.0,1424236.4,-4.0063495e+19,-1.3529977e+20,-1.0810787e+20
-2698565.2,5464316.0,1457448.8,1.3519838e+19,-4.9424855e+19,-5.6392003e+19
-2636254.0,5581832.5,1429826.2,2.0384965e+19,8.8224e+18,-7.457935e+19
-2851384.8,5403582.5,1636014.6,4.709198e+19,1.7925034e+20,-1.0448142e+20
-2590920.0,5542538.0,1447634.6,-1.41112694e+20,1.0470359e+20,2.105017e+19
-2822288.0,5471300.5,1621225.4,-8.5982056e+19,1.2368389e+20,1.5132231e+19
-2803494.5,5396440.0,1665921.6,2.5574973e+18,-3.3513783e+19,1.1857955e+19
-2846249.8,5434979.5,1604821.8,3.497826e+19,7.445699e+18,-1.0874153e+20
-2615990.0,5529320.0,1533087.6,-8.044124e+19,-1.1742815e+20,-7.103207e+19
-2657716.8,5404527.5,1655746.0,1.6136276e+20,1.6184092e+20,-9.245835e+19
-2659291.0,5525795.5,1506996.6,4.3046254e+19,-1.78915e+20,7.536086e+19
-2807824.8,5416550.0,1501989.5,3.5843754e+19,-1.3041739e+20,-1.9491106e+19
-2735055.0,5514798.0,1654965.2,-3.628531e+19,-1.7710545e+20,-1.7150557e+20
-2815782.8,5344066.0,1548221.2,7.0394433e+19,-4.0358392e+19,1.4238449e+20
-2644570.8,5557440.0,1493225.5,1.8525198e+20,4.4031628e+19,9.39453e+19
-2658535.8,5499411.5,1649997.8,-4.896723e+19,-2.017358e+20,1.077078e+20
-2613719.2,5513091.5,1450521.5,2.4128916e+20,6.2885477e+19,-1.8007355e+18
-2582176.8,5445626.5,1694286.0,1.9225154e+19,4.99019e+19,9.145739e+19
-2846868.0,5478518.5,1504636.8,4.4064506e+18,2.677661e+20,1.1612754e+20
-2751154.0,5472368.0,1434769.9,-7.578415e+19,-2.014438e+19,-6.5409045e+19
-2727260.0,5424142.5,1422588.5,-1.0731806e+20,2.7669025e+20,1.8465882e+19
-2591990.5,5464854.5,1648791.0,8.017807e+19,4.744695e+19,4.1710647e+19
-2834400.8,5430334.0,1672375.5,-1.3955492e+19,1.5647648e+20,7.907028e+19
-2792697.0,5506650.5,1663205.4,-2.5120588e+20,3.2402442e+20,-2.4781089e+20
-2675094.0,5452862.5,1641858.8,-1.2617209e+20,7.2907525e+19,8.039685e+19
-2719022.5,5438523.0,1705852.0,-1.4150692e+20,-2.12078e+20,-1.0842624e+20
-2697951.8,5477627.5,1553041.8,-5.172644e+19,-3.18253e+19,6.4429213e+19
-2617307.0,5540604.5,1673400.6,2.8492258e+19,-5.388365e+19,5.674056e+19
-2651385.0,5525660.5,1559098.2,3.727986e+19,-1.590535e+20,-3.3733936e+19
-2580205.0,5435741.5,1691996.9,1.3607942e+19,-1.7758466e+20,6.472456e+19
-2632624.8,5501842.0,1394212.6,1.3309758e+20,1.9365697e+20,1.9149601e+20
-2629483.0,5475551.0,1727596.1,1.4511913e+20,4.2535966e+19,1.2224634e+20
-2677228.8,5412608.0,1568499.1,-9.798442e+19,9.67286e+19,9.354421e+19
-2622104.2,5591125.5,1544350.8,2.071832e+20,-5.2189437e+19,1.3240337e+19
-2856777.0,5448782.5,1601063.5,1.3461951e+20,1.899003e+20,-1.478262e+20
-2824581.2,5347251.5,1490087.8,-3.3578582e+18,-6.787981e+19,-2.1948076e+20
-2756815.0,5542244.0,1483597.5,-1.2793362e+20,5.704362e+18,1.1873869e+19
-2728215.2,5455048.0,1612841.6,-1.19998465e+20,2.1574899e+20,1.6842796e+20
-2687804.8,5500580.0,1641791.4,-3.6849642e+19,-4.852965e+19,-1.1346691e+20
-2841108.8,5438121.5,1684180.0,-1.05837705e+20,-1.3632902e+20,-1.491077e+20
-2717080.2,5531349.5,1530345.2,-2.3596169e+20,-1.5819094e+20,-1.2095887e+20
-2626180.5,5536031.0,1486406.9,-6.514059e+19,4.6263386e+19,3.0973358e+18
-2828158.0,5469452.5,1534803.0,-1.012879e+20,2.2860963e+20,1.7695287e+20
-2679268.5,5454464.5,1501366.2,1.5392079e+20,1.0644174e+20,-4.8991076e+19
-2643236.0,5487244.0,1715117.2,-3.6254291e+19,5.5147397e+18,-1.2183644e+18
-2659221.8,5401225.5,1631619.6,-6.660034e+19,-7.2989756e+19,2.4475573e+19
-2632754.8,5560113.5,1515360.9,-4.972019e+19,-7.565617e+19,-1.5082277e+20
-2644037.0,5547630.0,1609777.8,1.2856718e+19,-9.414717e+19,-4.7961594e+19
-2827504.0,5363090.0,1646260.8,-1.0501435e+20,1.3224424e+18,9.523293e+19
-2813025.8,5326770.0,1671194.2,-7.951991e+19,-2.2768627e+20,-2.3775417e+19
-2735677.8,5433225.0,1689134.6,1.1429514e+19,-7.6394305e+19,-1.6278379e+20
-2558686.0,5445134.0,1573050.9,-8.026373e+19,2.86048e+20,-1.2642346e+19
-2655979.2,5537942.5,1425672.9,2.0074472e+20,-6.4188002e+19,-1.5210147e+19
-2711601.8,5526465.5,1498099.9,-1.9428168e+20,1.3577904e+20,-1.1824349e+20
-2820674.5,5407848.5,1695028.4,1.4311883e+20,4.4808873e+18,-7.2886285e+18
-2553450.5,5474888.5,1520523.6,9.245505e+19,1.774716e+20,-2.3856106e+19
-2609830.2,5551643.5,1635812.8,7.10501e+19,-5.529892e+19,8.013839e+19
-2621595.2,5505100.5,1668420.8,1.2429053e+20,-2.3216393e+19,1.1655287e+20
-2800166.8,5505258.5,1507166.8,-1.3797839e+20,2.1605252e+20,1.7870575e+20
-2810441.5,5460951.0,1584268.8,-4.4492134e+19,2.8010402e+20,1.1522643e+20
-2790032.5,5480714.0,1494208.4,-1.2447155e+20,2.4154304e+20,1.5751808e+20
-2697423.0,5444717.5,1399002.9,-1.9249917e+20,-1.087807e+20,8.062769e+19
-2696632.0,5375458.5,1634441.4,7.521581e+19,5.3737206e+19,9.729536e+19
-2684127.8,5514026.0,1410044.2,2.1651506e+19,-9.584181e+19,2.5464962e+20
-2797840.8,5429409.5,1528802.4,-7.463214e+19,1.359122e+20,1.4004183e+20
-2654912.5,5584336.0,1505408.9,2.5146118e+20,-8.4282686e+19,-9.475086e+19
-2791146.5,5454424.5,1480704.1,-1.5526774e+18,3.152809e+20,7.0801618e+19
-2595764.5,5444551.5,1608635.6,8.746019e+19,-4.4364485e+19,1.0290581e+20
-2662796.2,5442367.5,1704457.5,1.1460541e+20,1.3109173e+20,-1.0243885e+18
-2779812.5,5494432.0,1419294.2,-6.4287803e+19,-4.9438595e+19,7.769352e+19
-2815455.8,5462259.5,1654485.9,-5.87936e+19,1.6094233e+20,-2.1984631e+20
-2587754.5,5482644.0,1659601.8,9.679818e+19,-1.3046749e+20,7.113069e+19
-2799728.2,5308108.0,1672121.9,-2.6694242e+19,1.7356354e+20,9.8746875e+19
-2769810.2,5364007.0,1712013.1,2.4302587e+19,-4.9996887e+19,-6.8598926e+19
-2733139.8,5503476.5,1438358.1,6.769915e+19,-1.915306e+20,1.0558237e+20
-2699551.2,5456429.0,1572780.2,-2.112285e+20,-8.247664e+19,-2.0472687e+19
-2685166.2,5439357.0,1672218.9,1.4760457e+19,-1.598047e+20,2.284991e+19
-2644480.2,5441218.5,1597341.1,7.690725e+19,1.2321914e+20,-1.3259173e+20
-2694863.2,5400095.5,1708841.6,-2.1718779e+19,3.976036e+19,1.0095403e+20
-2712418.0,5425785.5,1704760.6,-9.909193e+19,-1.5596896e+19,3.8815474e+19
